,usdrub,gold,cb_key_rate,fed_rate,imoex_open,imoex_close,ru_cpi,us_cpi,workday,first_workday,second_workday,imoex_vol,ru_monetary,us_monetary
31.08.2015,67.4473,2447.13,11.0,0.25,1718.06,1733.17,100.35,100.00042010981672,workday,1,0,15.110000000000127,6.800000000000068,0.2449586821994103
01.09.2015,66.7152,2434.51,11.0,0.25,1732.9,1697.99,100.57,100.22526505486364,workday,0,1,-34.91000000000008,4.160000000000082,-2.453180658363692
02.09.2015,65.3495,2399.17,11.0,0.25,1697.98,1690.82,100.57,100.22526505486364,workday,0,0,-7.160000000000082,4.160000000000082,-2.453180658363692
03.09.2015,66.6756,2443.78,11.0,0.25,1690.83,1710.57,100.57,100.22526505486364,workday,0,0,19.74000000000001,4.160000000000082,-2.453180658363692
04.09.2015,67.0102,2434.61,11.0,0.25,1710.58,1698.16,100.57,100.22526505486364,workday,0,0,-12.419999999999845,4.160000000000082,-2.453180658363692
07.09.2015,67.0102,2434.61,11.0,0.25,1698.16,1701.18,100.57,100.22526505486364,workday,1,0,3.019999999999982,4.160000000000082,-2.453180658363692
08.09.2015,68.4864,2468.32,11.0,0.25,1701.82,1714.18,100.57,100.22526505486364,workday,0,1,12.360000000000127,4.160000000000082,-2.453180658363692
09.09.2015,68.7932,2479.04,11.0,0.25,1715.73,1722.43,100.57,100.22526505486364,workday,0,0,6.7000000000000455,4.160000000000082,-2.453180658363692
10.09.2015,67.6219,2439.98,11.0,0.25,1722.05,1718.9,100.57,100.22526505486364,workday,0,0,-3.1499999999998636,4.160000000000082,-2.453180658363692
11.09.2015,68.4961,2439.49,11.0,0.25,1718.88,1718.06,100.57,100.22526505486364,workday,0,0,-0.8200000000001637,4.160000000000082,-2.453180658363692
14.09.2015,68.4961,2439.49,11.0,0.25,1717.6,1729.75,100.57,100.22526505486364,workday,1,0,12.150000000000091,4.160000000000082,-2.453180658363692
15.09.2015,67.9571,2420.84,11.0,0.25,1729.91,1716.26,100.57,100.22526505486364,workday,0,1,-13.650000000000091,4.160000000000082,-2.453180658363692
16.09.2015,67.1574,2386.95,11.0,0.25,1716.27,1731.81,100.57,100.22526505486364,workday,0,0,15.539999999999964,4.160000000000082,-2.453180658363692
17.09.2015,65.9273,2352.24,11.0,0.25,1731.81,1729.2,100.57,100.22526505486364,workday,0,0,-2.6099999999999,4.160000000000082,-2.453180658363692
18.09.2015,65.3623,2349.73,11.0,0.25,1730.15,1710.84,100.57,100.22526505486364,workday,0,0,-19.310000000000173,4.160000000000082,-2.453180658363692
21.09.2015,65.3623,2349.73,11.0,0.25,1710.87,1699.72,100.57,100.22526505486364,workday,1,0,-11.149999999999864,4.160000000000082,-2.453180658363692
22.09.2015,66.1455,2417.65,11.0,0.25,1699.92,1664.25,100.57,100.22526505486364,workday,0,1,-35.67000000000007,4.160000000000082,-2.453180658363692
23.09.2015,66.1747,2402.66,11.0,0.25,1664.27,1640.7,100.57,100.22526505486364,workday,0,0,-23.569999999999936,4.160000000000082,-2.453180658363692
24.09.2015,66.041,2387.82,11.0,0.25,1640.7,1621.43,100.57,100.22526505486364,workday,0,0,-19.269999999999982,4.160000000000082,-2.453180658363692
25.09.2015,66.5151,2426.03,11.0,0.25,1621.44,1639.64,100.57,100.22526505486364,workday,0,0,18.200000000000045,4.160000000000082,-2.453180658363692
28.09.2015,66.5151,2426.03,11.0,0.25,1639.64,1616.36,100.57,100.22526505486364,workday,1,0,-23.2800000000002,4.160000000000082,-2.453180658363692
29.09.2015,65.547,2397.15,11.0,0.25,1616.36,1630.51,100.57,100.22526505486364,workday,0,1,14.150000000000091,4.160000000000082,-2.453180658363692
30.09.2015,66.2367,2394.9,11.0,0.25,1630.53,1642.97,100.57,100.22526505486364,workday,0,0,12.440000000000055,4.160000000000082,-2.453180658363692
01.10.2015,65.7364,2372.37,11.0,0.25,1644.52,1626.97,100.74,99.90114960901516,workday,0,0,-17.549999999999955,2.1200000000000614,1.436204691818034
02.10.2015,65.0336,2329.66,11.0,0.25,1627.07,1612.56,100.74,99.90114960901516,workday,0,0,-14.509999999999991,2.1200000000000614,1.436204691818034
05.10.2015,65.0336,2329.66,11.0,0.25,1612.71,1652.47,100.74,99.90114960901516,workday,1,0,39.75999999999999,2.1200000000000614,1.436204691818034
